Layer 0: Embedding(128100, 1536) , (p>>0)n= 3847 , (total)N= 196761600 ,fraction= 1.9551579169919333e-05
Layer 71: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 318 , (total)N= 9437184 ,fraction= 3.3696492513020836e-05
Layer 72: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 137 , (total)N= 9437184 ,fraction= 1.4517042371961805e-05
Layer 73: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1528 , (total)N= 1536 ,fraction= 0.9947916666666666
Layer 74: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 75: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 76: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 77: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 78: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 79: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 18 , (total)N= 9437184 ,fraction= 1.9073486328125e-06
Layer 80: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 198 , (total)N= 9437184 ,fraction= 2.09808349609375e-05
Layer 81: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 82: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 83: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 84: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 85: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 86: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 87: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 473 , (total)N= 9437184 ,fraction= 5.012088351779514e-05
Layer 88: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 192 , (total)N= 9437184 ,fraction= 2.0345052083333332e-05
Layer 89: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 90: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 55 , (total)N= 2359296 ,fraction= 2.331203884548611e-05
Layer 91: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 92: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 93: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 94: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 95: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 18 , (total)N= 9437184 ,fraction= 1.9073486328125e-06
Layer 96: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 382 , (total)N= 9437184 ,fraction= 4.047817654079861e-05
Layer 97: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1532 , (total)N= 1536 ,fraction= 0.9973958333333334
Layer 98: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 20 , (total)N= 2359296 ,fraction= 8.477105034722223e-06
Layer 99: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 100: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 101: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 172 , (total)N= 2359296 ,fraction= 7.290310329861111e-05
Layer 102: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1525 , (total)N= 1536 ,fraction= 0.9928385416666666
Layer 103: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 1 , (total)N= 9437184 ,fraction= 1.0596381293402777e-07
Layer 104: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 137 , (total)N= 9437184 ,fraction= 1.4517042371961805e-05
Layer 105: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 106: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 107: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 108: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 109: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 110: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1534 , (total)N= 1536 ,fraction= 0.9986979166666666
Layer 111: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 5 , (total)N= 9437184 ,fraction= 5.298190646701389e-07
Layer 112: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 437 , (total)N= 9437184 ,fraction= 4.630618625217014e-05
Layer 113: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1526 , (total)N= 1536 ,fraction= 0.9934895833333334
Layer 114: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 115: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 116: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 117: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 2 , (total)N= 2359296 ,fraction= 8.477105034722222e-07
Layer 118: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 119: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 46 , (total)N= 9437184 ,fraction= 4.874335394965277e-06
Layer 120: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 224 , (total)N= 9437184 ,fraction= 2.3735894097222223e-05
Layer 121: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 122: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 123: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 124: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 125: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 126: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 127: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 51 , (total)N= 9437184 ,fraction= 5.404154459635417e-06
Layer 128: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 260 , (total)N= 9437184 ,fraction= 2.7550591362847223e-05
Layer 129: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 130: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 131: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 132: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 133: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 134: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 135: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 42 , (total)N= 9437184 ,fraction= 4.450480143229167e-06
Layer 136: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 482 , (total)N= 9437184 ,fraction= 5.107455783420139e-05
Layer 137: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 138: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 4 , (total)N= 2359296 ,fraction= 1.6954210069444444e-06
Layer 139: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 140: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 141: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 142: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 143: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 59 , (total)N= 9437184 ,fraction= 6.251864963107639e-06
Layer 144: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 167 , (total)N= 9437184 ,fraction= 1.769595675998264e-05
Layer 145: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1527 , (total)N= 1536 ,fraction= 0.994140625
Layer 146: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 147: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 148: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 149: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 150: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 151: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 125 , (total)N= 9437184 ,fraction= 1.3245476616753473e-05
Layer 152: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 212 , (total)N= 9437184 ,fraction= 2.246432834201389e-05
Layer 153: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1527 , (total)N= 1536 ,fraction= 0.994140625
Layer 154: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 155: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 156: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 157: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 158: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 159: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 178 , (total)N= 9437184 ,fraction= 1.8861558702256945e-05
Layer 160: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 160 , (total)N= 9437184 ,fraction= 1.6954210069444445e-05
Layer 161: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1530 , (total)N= 1536 ,fraction= 0.99609375
Layer 162: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 163: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 164: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 165: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 166: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 167: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 407 , (total)N= 9437184 ,fraction= 4.3127271864149305e-05
Layer 168: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 135 , (total)N= 9437184 ,fraction= 1.430511474609375e-05
Layer 169: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1528 , (total)N= 1536 ,fraction= 0.9947916666666666
Layer 170: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 171: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 172: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 173: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 174: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 175: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 22 , (total)N= 9437184 ,fraction= 2.3312038845486113e-06
Layer 176: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 169 , (total)N= 9437184 ,fraction= 1.7907884385850695e-05
Layer 177: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1529 , (total)N= 1536 ,fraction= 0.9954427083333334
Layer 178: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 179: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 180: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 181: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 1 , (total)N= 2359296 ,fraction= 4.238552517361111e-07
Layer 182: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1536 , (total)N= 1536 ,fraction= 1.0
Layer 183: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 691 , (total)N= 9437184 ,fraction= 7.322099473741319e-05
Layer 184: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 209 , (total)N= 9437184 ,fraction= 2.2146436903211805e-05
Layer 185: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1531 , (total)N= 1536 ,fraction= 0.9967447916666666
Layer 186: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 372 , (total)N= 2359296 ,fraction= 0.00015767415364583334
Layer 187: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 188: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 0 , (total)N= 2359296 ,fraction= 0.0
Layer 189: Linear(in_features=1536, out_features=1536, bias=True) , (p>>0)n= 10 , (total)N= 2359296 ,fraction= 4.238552517361111e-06
Layer 190: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1533 , (total)N= 1536 ,fraction= 0.998046875
Layer 191: Linear(in_features=1536, out_features=6144, bias=True) , (p>>0)n= 96 , (total)N= 9437184 ,fraction= 1.0172526041666666e-05
Layer 192: Linear(in_features=6144, out_features=1536, bias=True) , (p>>0)n= 98 , (total)N= 9437184 ,fraction= 1.0384453667534723e-05
Layer 193: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1535 , (total)N= 1536 ,fraction= 0.9993489583333334
Layer 194: Embedding(512, 1536) , (p>>0)n= 0 , (total)N= 786432 ,fraction= 0.0
Layer 195: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 22 , (total)N= 1536 ,fraction= 0.014322916666666666
Layer 196: Conv1d(1536, 1536, kernel_size=(3,), stride=(1,), padding=(1,)) , (p>>0)n= 46 , (total)N= 7077888 ,fraction= 6.499113859953704e-06
Layer 197: LayerNorm((1536,), eps=1e-07, elementwise_affine=True) , (p>>0)n= 1531 , (total)N= 1536 ,fraction= 0.9967447916666666
Total Number >> 0: 89566
Model Total Parameters: 884593152
Fraction:  0.00010125106643375869
